resume_text,job_role
"Python, Pandas, NumPy, SQL, machine learning, EDA, data visualization, statistics",Data Scientist
"HTML, CSS, JavaScript, React, responsive design, frontend development",Web Developer
"Python, scikit-learn, machine learning, deep learning, NLP, model deployment",ML Engineer
"Node.js, Express, REST API, MongoDB, backend development, authentication",Backend Developer
"Excel, Power BI, SQL, business analysis, dashboards, reporting",Data Analyst
"Docker, Kubernetes, CI/CD, cloud computing, AWS, DevOps tools",DevOps Engineer
"Python, FastAPI, Flask, backend services, API development",Backend Developer
"C++, data structures, algorithms, OOP, problem solving",Software Engineer
"JavaScript, Tailwind CSS, UI design, web applications",Web Developer
"Python, statistics, hypothesis testing, data cleaning, feature engineering",Data Scientist
"AWS, EC2, S3, Terraform, monitoring, DevOps automation",DevOps Engineer
"React, Redux, frontend architecture, UI optimization",Web Developer
"SQL, database design, indexing, backend optimization",Backend Developer
"Machine learning, regression, classification, model evaluation",ML Engineer
"NLP, text preprocessing, TF-IDF, sentiment analysis",Data Scientist
